2 players, 27 turns, started: 2025-10-31 15:32:11, ended: 2025-10-31 15:32:44, duration: 32.4s, 56/1000
2 players, 31 turns, started: 2025-10-31 15:32:44, ended: 2025-10-31 15:33:19, duration: 35.1s, 57/1000
2 players, 28 turns, started: 2025-10-31 15:33:19, ended: 2025-10-31 15:33:51, duration: 31.9s, 58/1000
2 players, 30 turns, started: 2025-10-31 15:33:51, ended: 2025-10-31 15:34:26, duration: 35.8s, 59/1000
2 players, 32 turns, started: 2025-10-31 15:34:26, ended: 2025-10-31 15:35:07, duration: 40.9s, 60/1000
2 players, 28 turns, started: 2025-10-31 15:35:07, ended: 2025-10-31 15:35:42, duration: 35.2s, 61/1000
2 players, 28 turns, started: 2025-10-31 15:35:42, ended: 2025-10-31 15:36:16, duration: 34.0s, 62/1000
2 players, 29 turns, started: 2025-10-31 15:36:56, ended: 2025-10-31 15:37:31, duration: 35.4s, 63/1000
2 players, 28 turns, started: 2025-10-31 15:37:31, ended: 2025-10-31 15:38:03, duration: 31.6s, 64/1000
2 players, 29 turns, started: 2025-10-31 15:38:03, ended: 2025-10-31 15:38:36, duration: 32.7s, 65/1000
2 players, 27 turns, started: 2025-10-31 15:38:36, ended: 2025-10-31 15:39:08, duration: 32.6s, 66/1000
2 players, 27 turns, started: 2025-10-31 15:39:08, ended: 2025-10-31 15:39:41, duration: 32.8s, 67/1000
2 players, 31 turns, started: 2025-10-31 15:39:41, ended: 2025-10-31 15:40:17, duration: 36.1s, 68/1000
2 players, 30 turns, started: 2025-10-31 15:40:17, ended: 2025-10-31 15:40:50, duration: 33.0s, 69/1000
2 players, 28 turns, started: 2025-10-31 15:40:50, ended: 2025-10-31 15:41:25, duration: 35.1s, 70/1000
2 players, 29 turns, started: 2025-10-31 15:41:25, ended: 2025-10-31 15:41:59, duration: 33.4s, 71/1000
2 players, 27 turns, started: 2025-10-31 15:41:59, ended: 2025-10-31 15:42:31, duration: 32.1s, 72/1000
2 players, 28 turns, started: 2025-10-31 15:42:31, ended: 2025-10-31 15:43:05, duration: 34.1s, 73/1000
2 players, 28 turns, started: 2025-10-31 15:43:05, ended: 2025-10-31 15:43:40, duration: 35.1s, 74/1000
2 players, 27 turns, started: 2025-10-31 15:43:40, ended: 2025-10-31 15:44:13, duration: 32.5s, 75/1000
2 players, 25 turns, started: 2025-10-31 15:44:13, ended: 2025-10-31 15:44:42, duration: 29.7s, 76/1000
2 players, 30 turns, started: 2025-10-31 15:44:42, ended: 2025-10-31 15:45:18, duration: 35.9s, 77/1000
2 players, 29 turns, started: 2025-10-31 15:45:18, ended: 2025-10-31 15:45:48, duration: 29.5s, 78/1000
2 players, 31 turns, started: 2025-10-31 15:45:48, ended: 2025-10-31 15:46:21, duration: 32.9s, 79/1000
2 players, 27 turns, started: 2025-10-31 15:46:21, ended: 2025-10-31 15:46:54, duration: 33.0s, 80/1000
2 players, 28 turns, started: 2025-10-31 15:46:54, ended: 2025-10-31 15:47:26, duration: 32.2s, 81/1000
2 players, 33 turns, started: 2025-10-31 15:47:26, ended: 2025-10-31 15:48:01, duration: 34.9s, 82/1000
2 players, 30 turns, started: 2025-10-31 15:48:01, ended: 2025-10-31 15:48:35, duration: 33.6s, 83/1000
2 players, 29 turns, started: 2025-10-31 15:48:35, ended: 2025-10-31 15:49:08, duration: 33.9s, 84/1000
2 players, 29 turns, started: 2025-10-31 15:49:08, ended: 2025-10-31 15:49:42, duration: 33.3s, 85/1000
2 players, 31 turns, started: 2025-10-31 15:49:42, ended: 2025-10-31 15:50:19, duration: 37.4s, 86/1000
2 players, 27 turns, started: 2025-10-31 15:50:58, ended: 2025-10-31 15:51:27, duration: 29.9s, 87/1000
2 players, 26 turns, started: 2025-10-31 15:51:27, ended: 2025-10-31 15:51:58, duration: 30.4s, 88/1000
2 players, 30 turns, started: 2025-10-31 15:51:58, ended: 2025-10-31 15:52:32, duration: 34.1s, 89/1000
2 players, 26 turns, started: 2025-10-31 15:52:32, ended: 2025-10-31 15:53:04, duration: 31.9s, 90/1000
2 players, 28 turns, started: 2025-10-31 15:53:04, ended: 2025-10-31 15:53:36, duration: 32.6s, 91/1000
2 players, 27 turns, started: 2025-10-31 15:53:36, ended: 2025-10-31 15:54:09, duration: 32.7s, 92/1000
2 players, 27 turns, started: 2025-10-31 15:54:09, ended: 2025-10-31 15:54:44, duration: 34.6s, 93/1000
2 players, 28 turns, started: 2025-10-31 15:54:44, ended: 2025-10-31 15:55:16, duration: 32.4s, 94/1000
2 players, 28 turns, started: 2025-10-31 15:55:16, ended: 2025-10-31 15:55:50, duration: 33.5s, 95/1000
2 players, 27 turns, started: 2025-10-31 15:55:50, ended: 2025-10-31 15:56:20, duration: 30.7s, 96/1000
2 players, 31 turns, started: 2025-10-31 15:56:20, ended: 2025-10-31 15:56:57, duration: 36.8s, 97/1000
2 players, 29 turns, started: 2025-10-31 15:56:57, ended: 2025-10-31 15:57:32, duration: 34.8s, 98/1000
2 players, 29 turns, started: 2025-10-31 15:57:32, ended: 2025-10-31 15:58:06, duration: 33.8s, 99/1000
2 players, 29 turns, started: 2025-10-31 15:58:06, ended: 2025-10-31 15:58:40, duration: 34.0s, 100/1000
2 players, 26 turns, started: 2025-10-31 15:58:40, ended: 2025-10-31 15:59:11, duration: 31.3s, 101/1000
2 players, 27 turns, started: 2025-10-31 15:59:11, ended: 2025-10-31 15:59:44, duration: 33.1s, 102/1000
2 players, 28 turns, started: 2025-10-31 15:59:44, ended: 2025-10-31 16:00:18, duration: 33.6s, 103/1000
2 players, 27 turns, started: 2025-10-31 16:00:18, ended: 2025-10-31 16:00:49, duration: 31.7s, 104/1000
2 players, 30 turns, started: 2025-10-31 16:00:49, ended: 2025-10-31 16:01:23, duration: 33.9s, 105/1000
2 players, 35 turns, started: 2025-10-31 16:01:23, ended: 2025-10-31 16:02:00, duration: 36.4s, 106/1000
2 players, 30 turns, started: 2025-10-31 16:02:00, ended: 2025-10-31 16:02:35, duration: 35.7s, 107/1000
2 players, 28 turns, started: 2025-10-31 16:02:35, ended: 2025-10-31 16:03:09, duration: 33.9s, 108/1000
2 players, 31 turns, started: 2025-10-31 16:03:09, ended: 2025-10-31 16:03:46, duration: 37.0s, 109/1000
2 players, 28 turns, started: 2025-10-31 16:03:46, ended: 2025-10-31 16:04:22, duration: 36.1s, 110/1000
2 players, 30 turns, started: 2025-10-31 16:04:22, ended: 2025-10-31 16:04:58, duration: 36.1s, 111/1000
2 players, 30 turns, started: 2025-10-31 16:04:58, ended: 2025-10-31 16:05:35, duration: 36.5s, 112/1000
2 players, 30 turns, started: 2025-10-31 16:05:35, ended: 2025-10-31 16:06:10, duration: 34.8s, 113/1000
2 players, 27 turns, started: 2025-10-31 16:06:10, ended: 2025-10-31 16:06:41, duration: 31.4s, 114/1000
2 players, 29 turns, started: 2025-10-31 16:06:41, ended: 2025-10-31 16:07:14, duration: 33.4s, 115/1000
2 players, 29 turns, started: 2025-10-31 16:07:14, ended: 2025-10-31 16:07:50, duration: 35.4s, 116/1000
2 players, 33 turns, started: 2025-10-31 16:07:50, ended: 2025-10-31 16:08:27, duration: 37.4s, 117/1000
2 players, 29 turns, started: 2025-10-31 16:08:27, ended: 2025-10-31 16:09:00, duration: 32.4s, 118/1000
2 players, 29 turns, started: 2025-10-31 16:09:00, ended: 2025-10-31 16:09:36, duration: 36.1s, 119/1000
2 players, 30 turns, started: 2025-10-31 16:09:36, ended: 2025-10-31 16:10:10, duration: 33.9s, 120/1000
2 players, 31 turns, started: 2025-10-31 16:10:10, ended: 2025-10-31 16:10:44, duration: 34.8s, 121/1000
2 players, 27 turns, started: 2025-10-31 16:10:44, ended: 2025-10-31 16:11:16, duration: 31.1s, 122/1000
2 players, 28 turns, started: 2025-10-31 16:11:16, ended: 2025-10-31 16:11:48, duration: 32.9s, 123/1000
2 players, 28 turns, started: 2025-10-31 16:11:48, ended: 2025-10-31 16:12:19, duration: 30.8s, 124/1000
2 players, 29 turns, started: 2025-10-31 16:12:19, ended: 2025-10-31 16:12:52, duration: 32.5s, 125/1000
2 players, 33 turns, started: 2025-10-31 16:12:52, ended: 2025-10-31 16:13:31, duration: 38.8s, 126/1000
2 players, 31 turns, started: 2025-10-31 16:13:31, ended: 2025-10-31 16:14:05, duration: 34.2s, 127/1000
2 players, 29 turns, started: 2025-10-31 16:14:05, ended: 2025-10-31 16:14:39, duration: 33.9s, 128/1000
2 players, 28 turns, started: 2025-10-31 16:14:39, ended: 2025-10-31 16:15:11, duration: 32.5s, 129/1000
2 players, 32 turns, started: 2025-10-31 16:15:11, ended: 2025-10-31 16:15:47, duration: 35.4s, 130/1000
2 players, 27 turns, started: 2025-10-31 16:15:47, ended: 2025-10-31 16:16:18, duration: 31.2s, 131/1000
2 players, 29 turns, started: 2025-10-31 16:16:18, ended: 2025-10-31 16:16:52, duration: 34.3s, 132/1000
2 players, 33 turns, started: 2025-10-31 16:16:52, ended: 2025-10-31 16:17:29, duration: 36.5s, 133/1000
2 players, 27 turns, started: 2025-10-31 16:17:29, ended: 2025-10-31 16:18:01, duration: 32.0s, 134/1000
2 players, 30 turns, started: 2025-10-31 16:18:01, ended: 2025-10-31 16:18:34, duration: 33.4s, 135/1000
2 players, 29 turns, started: 2025-10-31 16:18:34, ended: 2025-10-31 16:19:07, duration: 33.0s, 136/1000
2 players, 28 turns, started: 2025-10-31 16:19:07, ended: 2025-10-31 16:19:39, duration: 31.7s, 137/1000
2 players, 29 turns, started: 2025-10-31 16:19:39, ended: 2025-10-31 16:20:12, duration: 33.0s, 138/1000
2 players, 29 turns, started: 2025-10-31 16:20:12, ended: 2025-10-31 16:20:46, duration: 34.8s, 139/1000
2 players, 30 turns, started: 2025-10-31 16:20:46, ended: 2025-10-31 16:21:23, duration: 36.4s, 140/1000
2 players, 29 turns, started: 2025-10-31 16:21:23, ended: 2025-10-31 16:21:57, duration: 33.9s, 141/1000
2 players, 29 turns, started: 2025-10-31 16:21:57, ended: 2025-10-31 16:22:32, duration: 34.8s, 142/1000
2 players, 29 turns, started: 2025-10-31 16:22:32, ended: 2025-10-31 16:23:07, duration: 35.5s, 143/1000
2 players, 32 turns, started: 2025-10-31 16:23:07, ended: 2025-10-31 16:23:45, duration: 37.4s, 144/1000
2 players, 37 turns, started: 2025-10-31 16:23:45, ended: 2025-10-31 16:24:25, duration: 41.0s, 145/1000
2 players, 29 turns, started: 2025-10-31 16:24:25, ended: 2025-10-31 16:24:59, duration: 33.2s, 146/1000
2 players, 30 turns, started: 2025-10-31 16:24:59, ended: 2025-10-31 16:25:33, duration: 34.5s, 147/1000
2 players, 30 turns, started: 2025-10-31 16:25:33, ended: 2025-10-31 16:26:07, duration: 33.9s, 148/1000
2 players, 30 turns, started: 2025-10-31 16:26:07, ended: 2025-10-31 16:26:42, duration: 34.6s, 149/1000
2 players, 29 turns, started: 2025-10-31 16:26:42, ended: 2025-10-31 16:27:17, duration: 35.4s, 150/1000
2 players, 32 turns, started: 2025-10-31 16:27:17, ended: 2025-10-31 16:27:52, duration: 35.1s, 151/1000
2 players, 30 turns, started: 2025-10-31 16:27:52, ended: 2025-10-31 16:28:29, duration: 36.7s, 152/1000
2 players, 27 turns, started: 2025-10-31 16:28:29, ended: 2025-10-31 16:29:02, duration: 33.1s, 153/1000
2 players, 29 turns, started: 2025-10-31 16:29:02, ended: 2025-10-31 16:29:37, duration: 35.3s, 154/1000
2 players, 26 turns, started: 2025-10-31 16:29:37, ended: 2025-10-31 16:30:09, duration: 32.3s, 155/1000
2 players, 31 turns, started: 2025-10-31 16:30:09, ended: 2025-10-31 16:30:44, duration: 34.4s, 156/1000
2 players, 26 turns, started: 2025-10-31 16:30:44, ended: 2025-10-31 16:31:14, duration: 30.1s, 157/1000
2 players, 28 turns, started: 2025-10-31 16:31:14, ended: 2025-10-31 16:31:46, duration: 32.3s, 158/1000
2 players, 30 turns, started: 2025-10-31 16:31:46, ended: 2025-10-31 16:32:21, duration: 35.0s, 159/1000
2 players, 28 turns, started: 2025-10-31 16:32:21, ended: 2025-10-31 16:32:55, duration: 33.6s, 160/1000
2 players, 28 turns, started: 2025-10-31 16:32:55, ended: 2025-10-31 16:33:29, duration: 34.0s, 161/1000
2 players, 28 turns, started: 2025-10-31 16:33:29, ended: 2025-10-31 16:34:03, duration: 33.7s, 162/1000
2 players, 26 turns, started: 2025-10-31 16:34:03, ended: 2025-10-31 16:34:34, duration: 31.2s, 163/1000
2 players, 30 turns, started: 2025-10-31 16:34:34, ended: 2025-10-31 16:35:10, duration: 36.2s, 164/1000
2 players, 29 turns, started: 2025-10-31 16:35:10, ended: 2025-10-31 16:35:44, duration: 34.4s, 165/1000
2 players, 24 turns, started: 2025-10-31 16:35:44, ended: 2025-10-31 16:36:13, duration: 28.5s, 166/1000
2 players, 34 turns, started: 2025-10-31 16:36:13, ended: 2025-10-31 16:36:54, duration: 41.6s, 167/1000
2 players, 27 turns, started: 2025-10-31 16:36:54, ended: 2025-10-31 16:37:27, duration: 32.2s, 168/1000
2 players, 29 turns, started: 2025-10-31 16:37:27, ended: 2025-10-31 16:38:03, duration: 36.2s, 169/1000
2 players, 34 turns, started: 2025-10-31 16:38:03, ended: 2025-10-31 16:38:40, duration: 36.8s, 170/1000
2 players, 31 turns, started: 2025-10-31 16:38:40, ended: 2025-10-31 16:39:16, duration: 36.7s, 171/1000
2 players, 30 turns, started: 2025-10-31 16:39:16, ended: 2025-10-31 16:39:49, duration: 32.2s, 172/1000
2 players, 26 turns, started: 2025-10-31 16:39:49, ended: 2025-10-31 16:40:20, duration: 31.8s, 173/1000
2 players, 33 turns, started: 2025-10-31 16:40:20, ended: 2025-10-31 16:40:58, duration: 37.5s, 174/1000
2 players, 29 turns, started: 2025-10-31 16:40:58, ended: 2025-10-31 16:41:33, duration: 35.0s, 175/1000
2 players, 29 turns, started: 2025-10-31 16:41:33, ended: 2025-10-31 16:42:08, duration: 34.8s, 176/1000
2 players, 25 turns, started: 2025-10-31 16:42:08, ended: 2025-10-31 16:42:37, duration: 29.6s, 177/1000
2 players, 28 turns, started: 2025-10-31 16:42:37, ended: 2025-10-31 16:43:10, duration: 33.2s, 178/1000
2 players, 27 turns, started: 2025-10-31 16:43:10, ended: 2025-10-31 16:43:42, duration: 31.2s, 179/1000
2 players, 30 turns, started: 2025-10-31 16:43:42, ended: 2025-10-31 16:44:16, duration: 34.0s, 180/1000
2 players, 35 turns, started: 2025-10-31 16:44:16, ended: 2025-10-31 16:44:55, duration: 39.3s, 181/1000
2 players, 29 turns, started: 2025-10-31 16:44:55, ended: 2025-10-31 16:45:31, duration: 36.0s, 182/1000
2 players, 29 turns, started: 2025-10-31 16:45:31, ended: 2025-10-31 16:46:06, duration: 35.5s, 183/1000
2 players, 28 turns, started: 2025-10-31 16:46:06, ended: 2025-10-31 16:46:38, duration: 32.2s, 184/1000
2 players, 32 turns, started: 2025-10-31 16:46:38, ended: 2025-10-31 16:47:16, duration: 38.0s, 185/1000
2 players, 29 turns, started: 2025-10-31 16:47:16, ended: 2025-10-31 16:47:50, duration: 33.5s, 186/1000
2 players, 28 turns, started: 2025-10-31 16:47:50, ended: 2025-10-31 16:48:22, duration: 32.6s, 187/1000
2 players, 30 turns, started: 2025-10-31 16:48:22, ended: 2025-10-31 16:48:59, duration: 36.2s, 188/1000
2 players, 26 turns, started: 2025-10-31 16:48:59, ended: 2025-10-31 16:49:32, duration: 33.3s, 189/1000
2 players, 32 turns, started: 2025-10-31 16:49:32, ended: 2025-10-31 16:50:08, duration: 36.0s, 190/1000
2 players, 26 turns, started: 2025-10-31 16:50:08, ended: 2025-10-31 16:50:39, duration: 31.4s, 191/1000
2 players, 28 turns, started: 2025-10-31 16:50:39, ended: 2025-10-31 16:51:13, duration: 33.4s, 192/1000
2 players, 31 turns, started: 2025-10-31 16:51:13, ended: 2025-10-31 16:51:47, duration: 34.2s, 193/1000
2 players, 31 turns, started: 2025-10-31 16:51:47, ended: 2025-10-31 16:52:24, duration: 37.2s, 194/1000
2 players, 32 turns, started: 2025-10-31 16:52:24, ended: 2025-10-31 16:53:03, duration: 38.7s, 195/1000
2 players, 26 turns, started: 2025-10-31 16:53:03, ended: 2025-10-31 16:53:34, duration: 30.7s, 196/1000
2 players, 32 turns, started: 2025-10-31 16:53:34, ended: 2025-10-31 16:54:09, duration: 35.8s, 197/1000
2 players, 27 turns, started: 2025-10-31 16:54:09, ended: 2025-10-31 16:54:43, duration: 33.5s, 198/1000
2 players, 28 turns, started: 2025-10-31 16:54:43, ended: 2025-10-31 16:55:14, duration: 31.0s, 199/1000
2 players, 29 turns, started: 2025-10-31 16:55:14, ended: 2025-10-31 16:55:47, duration: 32.7s, 200/1000
2 players, 31 turns, started: 2025-10-31 16:55:47, ended: 2025-10-31 16:56:22, duration: 35.7s, 201/1000
2 players, 30 turns, started: 2025-10-31 16:56:22, ended: 2025-10-31 16:56:57, duration: 34.6s, 202/1000
2 players, 27 turns, started: 2025-10-31 16:56:57, ended: 2025-10-31 16:57:30, duration: 33.0s, 203/1000
2 players, 27 turns, started: 2025-10-31 16:57:30, ended: 2025-10-31 16:58:03, duration: 32.6s, 204/1000
2 players, 30 turns, started: 2025-10-31 16:58:03, ended: 2025-10-31 16:58:35, duration: 32.5s, 205/1000
2 players, 29 turns, started: 2025-10-31 16:58:35, ended: 2025-10-31 16:59:10, duration: 35.1s, 206/1000
2 players, 28 turns, started: 2025-10-31 16:59:10, ended: 2025-10-31 16:59:44, duration: 33.7s, 207/1000
2 players, 27 turns, started: 2025-10-31 16:59:44, ended: 2025-10-31 17:00:16, duration: 32.3s, 208/1000
2 players, 25 turns, started: 2025-10-31 17:00:16, ended: 2025-10-31 17:00:46, duration: 30.1s, 209/1000
2 players, 27 turns, started: 2025-10-31 17:00:46, ended: 2025-10-31 17:01:19, duration: 32.3s, 210/1000
2 players, 34 turns, started: 2025-10-31 17:01:19, ended: 2025-10-31 17:01:58, duration: 39.7s, 211/1000
2 players, 31 turns, started: 2025-10-31 17:01:58, ended: 2025-10-31 17:02:32, duration: 33.8s, 212/1000
2 players, 29 turns, started: 2025-10-31 17:03:07, ended: 2025-10-31 17:03:41, duration: 34.2s, 213/1000
2 players, 30 turns, started: 2025-10-31 17:03:41, ended: 2025-10-31 17:04:16, duration: 34.8s, 214/1000
2 players, 30 turns, started: 2025-10-31 17:04:16, ended: 2025-10-31 17:04:49, duration: 33.8s, 215/1000
2 players, 27 turns, started: 2025-10-31 17:04:49, ended: 2025-10-31 17:05:22, duration: 33.0s, 216/1000
2 players, 32 turns, started: 2025-10-31 17:05:22, ended: 2025-10-31 17:05:59, duration: 36.5s, 217/1000
2 players, 30 turns, started: 2025-10-31 17:05:59, ended: 2025-10-31 17:06:33, duration: 34.0s, 218/1000
2 players, 24 turns, started: 2025-10-31 17:06:33, ended: 2025-10-31 17:07:04, duration: 30.9s, 219/1000
2 players, 36 turns, started: 2025-10-31 17:07:04, ended: 2025-10-31 17:07:39, duration: 35.1s, 220/1000
2 players, 29 turns, started: 2025-10-31 17:07:39, ended: 2025-10-31 17:08:13, duration: 34.4s, 221/1000
2 players, 28 turns, started: 2025-10-31 17:08:13, ended: 2025-10-31 17:08:45, duration: 32.2s, 222/1000
2 players, 30 turns, started: 2025-10-31 17:08:45, ended: 2025-10-31 17:09:22, duration: 36.1s, 223/1000
2 players, 27 turns, started: 2025-10-31 17:09:22, ended: 2025-10-31 17:09:52, duration: 30.9s, 224/1000
2 players, 27 turns, started: 2025-10-31 17:09:52, ended: 2025-10-31 17:10:26, duration: 33.8s, 225/1000
2 players, 27 turns, started: 2025-10-31 17:10:26, ended: 2025-10-31 17:11:00, duration: 33.7s, 226/1000
2 players, 28 turns, started: 2025-10-31 17:11:00, ended: 2025-10-31 17:11:32, duration: 32.0s, 227/1000
2 players, 26 turns, started: 2025-10-31 17:11:32, ended: 2025-10-31 17:12:03, duration: 31.3s, 228/1000
2 players, 27 turns, started: 2025-10-31 17:12:03, ended: 2025-10-31 17:12:35, duration: 32.1s, 229/1000
2 players, 29 turns, started: 2025-10-31 17:12:35, ended: 2025-10-31 17:13:09, duration: 34.1s, 230/1000
2 players, 30 turns, started: 2025-10-31 17:13:09, ended: 2025-10-31 17:13:44, duration: 34.8s, 231/1000
2 players, 28 turns, started: 2025-10-31 17:13:44, ended: 2025-10-31 17:14:18, duration: 34.0s, 232/1000
2 players, 29 turns, started: 2025-10-31 17:14:18, ended: 2025-10-31 17:14:54, duration: 35.5s, 233/1000
2 players, 26 turns, started: 2025-10-31 17:14:54, ended: 2025-10-31 17:15:26, duration: 32.1s, 234/1000
2 players, 30 turns, started: 2025-10-31 17:15:26, ended: 2025-10-31 17:15:57, duration: 31.4s, 235/1000
2 players, 31 turns, started: 2025-10-31 17:15:57, ended: 2025-10-31 17:16:31, duration: 33.9s, 236/1000
2 players, 29 turns, started: 2025-10-31 17:16:31, ended: 2025-10-31 17:17:05, duration: 34.0s, 237/1000
2 players, 28 turns, started: 2025-10-31 17:17:05, ended: 2025-10-31 17:17:38, duration: 32.6s, 238/1000
2 players, 30 turns, started: 2025-10-31 17:17:38, ended: 2025-10-31 17:18:12, duration: 34.5s, 239/1000
2 players, 33 turns, started: 2025-10-31 17:18:12, ended: 2025-10-31 17:18:46, duration: 34.2s, 240/1000
2 players, 28 turns, started: 2025-10-31 17:18:46, ended: 2025-10-31 17:19:20, duration: 33.3s, 241/1000
